ID_Pedido,Data_Venda,Nome_Produto,Categoria,Quantidade,Preco_Unitario,Valor_Total,Nome_Cliente,Estado,Email,Metodo_Pagamento
01a193ef-60a9-4aa6-8d51-50c61589cc0a,2022-08-10 00:00:00,Camiseta Básica,Roupas,1,1202.56,1202.56,Patrícia Ferreira,PA,patrícia.ferreira@teste.br,PIX
4ae8427f-14ed-4bff-9bbf-5e6f53e9085e,2024-09-13 00:00:00,Bicicleta Mountain Bike,Esportes e Lazer,2,2606.71,5213.42,Bruno Santos,AM,bruno.santos@web.org,PIX
9a734f36-017e-4af7-af06-60f8e7f727b9,2022-09-24 00:00:00,Poemas ao Luar,Livros,3,1126.25,3378.75,Ana Almeida,MA,,Boleto Bancário
05a2909d-c14e-4262-9a24-c0b02330a275,2022-07-24 00:00:00,Cozinha para Iniciantes,Livros,4,362.31,1449.24,Patrícia Mendes,SE,patrícia.mendes@email.com,PayPal
d09281ba-b013-4f1c-888a-71987c865733,2024-03-06 00:00:00,Vestido Floral,Roupas,1,359.89,359.89,Carlos Mendes,RS,carlos.mendes@teste.br,PIX
b6785b26-7cc6-4d31-8c01-40d0f8e86b99,2024-11-22 00:00:00,Barraca de Camping,Esportes e Lazer,5,4927.67,24638.35,Marcos Souza,MA,marcos.souza@email.com,Cartão de Crédito
b14db7eb-414a-4b48-a64b-2fe4610b4163,2024-02-16 00:00:00,Cozinha para Iniciantes,Livros,3,4764.54,14293.62,Otávio Ferreira,MT,otávio.ferreira@teste.br,PIX
1572ae80-89ab-4824-8282-2ed542add1d9,2024-01-01 00:00:00,Laptop Pro,Eletrônicos,3,2667.96,8003.88,Carlos Dias,CE,carlos.dias@teste.br,Cartão de Crédito
c105dc51-9b38-4dd0-aaf4-912027fa650a,2024-12-19 00:00:00,Fone de Ouvido Sem Fio,Eletrônicos,4,2322.58,9290.32,Gustavo Nunes,MG,gustavo.nunes@example.com,Cartão de Crédito
bc36ce1f-a30e-4aae-8673-e55817683538,2022-03-10 00:00:00,Aventuras em Marte,Livros,4,2158.88,8635.52,Sofia Oliveira,PB,sofia.oliveira@web.org,PayPal
5320cfdb-b625-44a8-b7b7-5b87134fa0d7,2023-05-19 00:00:00,Calça Jeans Slim,Roupas,3,1591.85,4775.55,Thiago Lima,AP,thiago.lima@teste.br,PayPal
dd8d0404-6860-4592-8184-d1732ce02078,2024-11-03 00:00:00,Fone de Ouvido Sem Fio,Eletrônicos,4,155.21,620.84,Eduardo Martins,AL,eduardo.martins@example.com,PayPal
